close_time,symbol,side,reason,entry_price,exit_price,amount,pnl,pnl_pct,balance,entry_time,adx,rsi,atr_pct
2026-03-25T08:33:21.476757+00:00,XRP/USDT,SHORT,SL,1.4188,1.423268561633854,93.1141,-0.2933,-0.31,608.02,2026-03-25T08:13:54.457864+00:00,22.6,51.1,0.00315
2026-03-25T08:33:22.028147+00:00,BTC/USDT,SHORT,SL,71231.25,71429.36031017172,106.9609,-0.2975,-0.28,714.68,2026-03-25T08:28:36.455039+00:00,64.5,35.0,0.00278
2026-03-25T08:37:01.833062+00:00,ADA/USDT,LONG,SL,0.2711,0.27172478143081646,92.8757,0.214,0.23,609.45,2026-03-25T08:19:41.392911+00:00,65.0,63.7,0.00461
2026-03-25T08:37:02.657595+00:00,ETH/USDT,LONG,SL,2189.45,2181.2002135408475,91.1216,-0.3433,-0.38,700.22,2026-03-25T08:33:22.915750+00:00,29.1,66.6,0.00377
2026-03-25T08:52:45.243768+00:00,SOL/USDT,LONG,SL,92.4,92.4462,89.2786,0.0446,0.05,595.24,2026-03-25T08:37:03.260822+00:00,43.4,51.3,0.00405
2026-03-25T08:56:56.571475+00:00,BTC/USDT,LONG,SL,71465.88,71249.60946776107,107.2019,-0.3244,-0.3,612.83,2026-03-25T08:33:22.610655+00:00,37.0,59.7,0.00303
2026-03-25T09:01:39.177180+00:00,PEPE/USDT,LONG,SL,3.59e-06,3.562755884682818e-06,90.9168,-0.69,-0.76,611.13,2026-03-25T08:28:38.606985+00:00,62.7,56.3,0.00759
2026-03-25T09:23:09.443854+00:00,NEAR/USDT,LONG,SL,1.295,1.287531779513673,91.6695,-0.5287,-0.58,610.6,2026-03-25T09:01:41.937601+00:00,16.2,75.8,0.00577
2026-03-25T09:24:14.500740+00:00,BTC/USDT,LONG,SL,71242.01,71277.63100499999,91.9241,0.046,0.05,610.98,2026-03-25T08:56:57.431949+00:00,26.3,69.8,0.00309
2026-03-25T09:35:09.653518+00:00,XRP/USDT,LONG,SL,1.4216,1.4168060991193872,89.2853,-0.3011,-0.34,608.32,2026-03-25T08:52:45.868555+00:00,33.0,60.6,0.00337
2026-03-25T09:42:32.960113+00:00,WIF/USDT,SHORT,SL,0.196,0.1979138639244105,91.5902,-0.8943,-0.98,607.77,2026-03-25T09:23:11.964673+00:00,45.1,50.1,0.00976
2026-03-25T09:51:10.099534+00:00,NEAR/USDT,SHORT,SL,1.282,1.2897947522055664,91.2477,-0.5548,-0.61,607.29,2026-03-25T09:35:13.857259+00:00,21.9,47.5,0.00608
2026-03-25T10:01:07.817847+00:00,DOGE/USDT,SHORT,SL,0.09713,0.09688255005671825,93.3121,0.2377,0.25,609.75,2026-03-25T08:09:42.990881+00:00,54.0,54.6,0.0051
2026-03-25T10:04:51.388764+00:00,WIF/USDT,LONG,SL,0.198,0.1961394139431735,91.4625,-0.8595,-0.94,608.89,2026-03-25T10:01:11.495662+00:00,44.6,56.5,0.0094
2026-03-25T10:17:59.388233+00:00,WIF/USDT,LONG,SL,0.196,0.19693029302841325,91.3336,0.4335,0.47,609.32,2026-03-25T10:04:53.921959+00:00,44.6,56.5,0.00949
2026-03-25T10:20:05.876286+00:00,AVAX/USDT,SHORT,SL,9.68,9.718734691167201,91.165,-0.3648,-0.4,608.73,2026-03-25T09:45:24.475561+00:00,43.5,49.6,0.004
2026-03-25T10:30:35.191490+00:00,NEAR/USDT,LONG,TP,1.29,1.3016075482537157,91.0941,0.8197,0.9,609.33,2026-03-25T09:51:12.237801+00:00,19.3,53.8,0.006
2026-03-25T10:42:24.410375+00:00,ETH/USDT,LONG,SL,2181.04,2182.1305199999997,105.0336,0.0525,0.05,714.42,2026-03-25T08:37:02.960104+00:00,29.1,66.6,0.00378
2026-03-25T10:55:56.122131+00:00,SUI/USDT,SHORT,SL,0.9612,0.9651235271541337,91.6472,-0.3741,-0.41,698.53,2026-03-25T09:30:27.583799+00:00,46.8,50.9,0.00408
2026-03-25T11:06:03.368690+00:00,WIF/USDT,LONG,SL,0.197,0.1951893437395229,107.1625,-0.9849,-0.92,699.93,2026-03-25T10:45:18.062215+00:00,47.2,50.7,0.00919
2026-03-25T11:13:22.317142+00:00,XRP/USDT,LONG,TP,1.4205,1.4276053921052858,91.3986,0.4572,0.5,791.78,2026-03-25T10:18:00.300838+00:00,23.6,54.4,0.00333
2026-03-25T11:17:52.796639+00:00,XRP/USDT,LONG,SL,1.4311,1.4334069509104639,118.7672,0.1915,0.16,691.02,2026-03-25T11:15:05.401978+00:00,40.5,79.9,0.00322
2026-03-25T11:21:48.359888+00:00,SUI/USDT,LONG,TP,0.9645,0.9699939557560061,104.7791,0.5968,0.57,692.74,2026-03-25T11:00:28.903548+00:00,41.0,58.4,0.0038
2026-03-25T11:26:52.119381+00:00,ADA/USDT,SHORT,SL,0.2717,0.27282757061520824,100.9521,-0.419,-0.42,793.28,2026-03-25T11:15:06.345516+00:00,46.6,46.4,0.00415
2026-03-25T11:29:41.441165+00:00,XRP/USDT,LONG,SL,1.4326,1.4333163,103.6531,0.0518,0.05,777.99,2026-03-25T11:17:54.343705+00:00,40.5,79.9,0.00322
2026-03-25T11:31:18.345969+00:00,ADA/USDT,SHORT,SL,0.273,0.27412757061520826,118.9915,-0.4915,-0.41,596.28,2026-03-25T11:26:54.798360+00:00,46.6,46.4,0.00413
2026-03-25T11:36:33.336285+00:00,ETH/USDT,LONG,SL,2193.35,2194.4466749999997,84.3147,0.0422,0.05,591.2,2026-03-25T11:30:16.370030+00:00,37.2,74.9,0.00323
2026-03-25T11:37:04.503266+00:00,XRP/USDT,LONG,SL,1.4335,1.4342167499999998,116.6985,0.0583,0.05,619.27,2026-03-25T11:29:42.989715+00:00,40.5,79.9,0.00322
2026-03-25T11:37:05.055284+00:00,SOL/USDT,LONG,SL,93.09,93.136545,89.4425,0.0447,0.05,708.76,2026-03-25T11:31:19.490511+00:00,34.3,74.4,0.0038
2026-03-25T11:40:45.231342+00:00,ETH/USDT,LONG,SL,2194.11,2195.207055,88.6796,0.0443,0.05,600.8,2026-03-25T11:36:33.933619+00:00,37.2,74.9,0.00323
2026-03-25T11:42:19.179901+00:00,DOGE/USDT,LONG,SL,0.09694,0.09715486154238312,91.3088,0.2024,0.22,602.2,2026-03-25T10:20:07.363736+00:00,37.2,57.5,0.00443
2026-03-25T11:48:05.056670+00:00,BTC/USDT,LONG,SL,71887.45,71683.14558936557,99.1938,-0.2819,-0.28,610.78,2026-03-25T11:30:16.048612+00:00,33.1,82.3,0.00284
2026-03-25T11:48:05.625131+00:00,XRP/USDT,LONG,SL,1.4338,1.4289192211230102,90.3672,-0.3076,-0.34,700.84,2026-03-25T11:37:05.932031+00:00,27.5,82.7,0.0034
2026-03-25T11:49:13.292918+00:00,ETH/USDT,LONG,SL,2193.62,2186.5300856123536,90.1207,-0.2913,-0.32,685.54,2026-03-25T11:40:46.093323+00:00,37.2,74.9,0.00323
2026-03-25T11:49:46.985551+00:00,SOL/USDT,LONG,SL,93.1,92.74624683696108,106.3143,-0.404,-0.38,791.45,2026-03-25T11:37:05.630152+00:00,34.3,74.4,0.0038
2026-03-25T12:12:19.230563+00:00,WIF/USDT,LONG,SL,0.198,0.198099,100.9101,0.0505,0.05,672.78,2026-03-25T12:00:33.667559+00:00,43.1,61.2,0.00858
2026-03-25T12:13:26.859223+00:00,WIF/USDT,LONG,SL,0.198,0.198099,100.9176,0.0505,0.05,672.83,2026-03-25T12:12:22.049107+00:00,43.1,61.2,0.00858
2026-03-25T12:14:34.548850+00:00,WIF/USDT,LONG,SL,0.198,0.198099,100.9252,0.0505,0.05,672.89,2026-03-25T12:13:29.713892+00:00,43.1,61.2,0.00858
2026-03-25T12:15:40.327761+00:00,DOGE/USDT,LONG,SL,0.0971,0.09714855,90.3293,0.0452,0.05,576.53,2026-03-25T11:42:20.614290+00:00,29.0,63.0,0.00392
2026-03-25T12:15:40.878651+00:00,NEAR/USDT,LONG,SL,1.306,1.306653,118.7177,0.0594,0.05,695.31,2026-03-25T12:00:33.367077+00:00,24.2,77.7,0.00525
2026-03-25T12:17:17.193189+00:00,AVAX/USDT,LONG,SL,9.77,9.730664533851822,85.7929,-0.3454,-0.4,587.81,2026-03-25T12:15:10.042287+00:00,28.9,76.1,0.00403
2026-03-25T12:17:49.911109+00:00,WIF/USDT,LONG,SL,0.198,0.19630113143391179,100.9328,-0.866,-0.86,599.7,2026-03-25T12:14:37.371808+00:00,43.1,61.2,0.00858
2026-03-25T12:18:57.455236+00:00,DOGE/USDT,LONG,SL,0.09717,0.09678318493474435,104.2966,-0.4152,-0.4,703.59,2026-03-25T12:15:42.959216+00:00,25.4,58.4,0.00398
